customer_id,name,email,age,gender,city,state,segment,total_items_purchased,total_spent,num_orders,last_purchase_date,favourite_category,first_purchase_date,avg_order_value
C016,Brenda Edwards,brenda.edwards88@gmail.com,28,F,New York,NY,New,90,3084.35,50,2025-06-15,Women,2024-01-06,61.69
C017,Heather Adams,heather.adams15@outlook.com,22,F,Memphis,TN,Occasional,60,1840.4,40,2025-06-06,Women,2024-01-01,46.01
C018,Mary Campbell,mary.campbell65@yahoo.com,38,F,Denver,CO,New,60,2389.15,35,2025-06-14,Women,2024-01-05,68.26
C019,Patrick Martin,patrick.martin20@outlook.com,24,M,Columbus,OH,Seasonal,71,2220.29,46,2025-06-21,Men,2024-01-05,48.27
C020,Frank Lee,frank.lee3@gmail.com,18,M,Tucson,AZ,Bargain Hunter,161,4935.14,59,2025-06-22,Men,2024-01-03,83.65
C021,Ashley Brown,ashley.brown73@gmail.com,52,F,Seattle,WA,Loyal,128,4962.72,53,2025-06-21,Women,2024-01-02,93.64
C022,Barbara Carter,barbara.carter17@hotmail.com,32,F,Dallas,TX,Bargain Hunter,126,4914.24,41,2025-06-23,Women,2024-01-03,119.86
C023,Andrew King,andrew.king28@icloud.com,35,M,Cleveland,OH,Seasonal,90,3173.6,54,2025-06-24,Men,2024-01-01,58.77
C024,Tyler Martin,tyler.martin86@outlook.com,18,M,Tampa,FL,Occasional,80,2641.7,46,2025-06-03,Men,2024-01-01,57.43
C025,Jessica Thomas,jessica.thomas9@outlook.com,28,F,Indianapolis,IN,Loyal,138,5147.87,48,2025-06-29,Women,2024-01-20,107.25
C026,Gregory Anderson,gregory.anderson10@gmail.com,36,M,New York,NY,Occasional,76,3146.99,51,2025-06-26,Men,2024-01-03,61.71
C027,Ronald Jones,ronald.jones36@hotmail.com,21,M,Seattle,WA,Occasional,109,3701.91,64,2025-06-24,Men,2024-01-03,57.84
C028,Aaron Torres,aaron.torres32@hotmail.com,39,M,Fresno,CA,Seasonal,92,2961.33,56,2025-06-30,Men,2024-01-02,52.88
C029,Richard Miller,richard.miller46@hotmail.com,27,M,Cleveland,OH,Occasional,104,3589.71,59,2025-06-26,Men,2024-01-03,60.84
C030,Dennis Adams,dennis.adams8@hotmail.com,31,M,San Antonio,TX,New,88,2843.62,56,2025-06-28,Men,2024-01-02,50.78
C031,Steven Gonzalez,steven.gonzalez69@hotmail.com,27,M,Columbus,OH,Loyal,125,4141.5,51,2025-06-19,Men,2024-01-05,81.21
C032,Kevin Robinson,kevin.robinson10@hotmail.com,57,M,Seattle,WA,Seasonal,72,2384.78,42,2025-06-14,Men,2024-01-01,56.78
C033,Michael Adams,michael.adams12@yahoo.com,34,M,New York,NY,Loyal,144,5850.06,63,2025-06-30,Men,2024-02-03,92.86
C034,Kathleen Wilson,kathleen.wilson8@yahoo.com,22,F,Tampa,FL,Occasional,75,2947.0,47,2025-05-18,Women,2024-01-05,62.7
C035,Dorothy Phillips,dorothy.phillips37@hotmail.com,44,F,Sacramento,CA,New,50,1915.75,33,2025-06-30,Women,2024-02-29,58.05
C036,Karen Gonzalez,karen.gonzalez28@gmail.com,20,F,Boston,MA,New,62,2120.13,45,2025-06-30,Women,2024-01-07,47.11
C037,Henry Lee,henry.lee7@icloud.com,37,M,Houston,TX,Occasional,103,3949.47,62,2025-06-07,Men,2024-01-30,63.7
C038,Michael Allen,michael.allen24@gmail.com,18,M,Philadelphia,PA,New,90,2958.1,60,2025-06-15,Men,2024-01-04,49.3
C039,Ryan Davis,ryan.davis75@icloud.com,19,M,Seattle,WA,Loyal,102,3539.98,43,2025-06-29,Men,2024-01-17,82.33
C040,Jacob Nelson,jacob.nelson34@yahoo.com,37,M,Las Vegas,NV,New,68,2250.32,42,2025-06-25,Men,2024-01-07,53.58
C041,Ashley Taylor,ashley.taylor17@outlook.com,43,F,Tampa,FL,Occasional,87,3232.88,47,2025-06-11,Women,2024-01-01,68.78
C042,James Robinson,james.robinson10@icloud.com,37,M,San Antonio,TX,Occasional,92,2753.08,55,2025-06-25,All,2024-01-16,50.06
C043,Sarah Thompson,sarah.thompson32@outlook.com,33,F,Phoenix,AZ,Occasional,77,2915.48,53,2025-06-29,Women,2024-01-06,55.01
C044,Anna Rivera,anna.rivera79@icloud.com,31,F,Portland,OR,Loyal,161,5842.89,63,2025-06-21,Women,2024-01-01,92.74
C045,Christine Miller,christine.miller34@gmail.com,18,F,Dallas,TX,Seasonal,80,3194.95,49,2025-06-14,Women,2024-01-01,65.2
C046,Kevin Jackson,kevin.jackson92@outlook.com,26,M,Charlotte,NC,Occasional,82,3306.68,46,2025-06-17,Men,2024-01-04,71.88
C047,Angela Young,angela.young7@gmail.com,29,F,Denver,CO,New,86,3157.14,51,2025-06-14,Women,2024-01-04,61.9
C048,Jennifer Smith,jennifer.smith99@yahoo.com,47,F,Memphis,TN,New,72,2898.28,53,2025-06-21,Women,2024-01-02,54.68
C049,Lisa Mitchell,lisa.mitchell71@hotmail.com,39,F,Raleigh,NC,New,81,3115.69,54,2025-06-29,Women,2024-01-04,57.7
C050,William Hall,william.hall70@gmail.com,18,M,San Jose,CA,Seasonal,88,2832.62,52,2025-06-26,Men,2024-01-20,54.47
C051,Gary Rodriguez,gary.rodriguez40@outlook.com,38,M,Chicago,IL,Seasonal,83,2619.67,56,2025-05-16,Men,2024-01-02,46.78
C052,Timothy Wilson,timothy.wilson86@gmail.com,30,M,Seattle,WA,Occasional,88,3147.87,50,2025-06-30,Men,2024-01-21,62.96
C053,Helen Mitchell,helen.mitchell31@yahoo.com,26,F,San Jose,CA,Bargain Hunter,112,4396.63,43,2025-06-05,Women,2024-01-03,102.25
C054,Jacob Johnson,jacob.johnson95@outlook.com,42,M,Jacksonville,FL,Seasonal,64,2179.36,44,2025-06-01,Men,2024-01-05,49.53
C055,Christine Edwards,christine.edwards35@yahoo.com,47,F,Seattle,WA,Seasonal,77,3131.98,48,2025-06-26,Women,2024-01-02,65.25
C056,Jeffrey Edwards,jeffrey.edwards61@yahoo.com,46,M,Chicago,IL,Loyal,127,4772.73,51,2025-06-18,Men,2024-01-07,93.58
C057,Amanda Martin,amanda.martin29@gmail.com,24,F,Indianapolis,IN,New,69,2564.06,47,2025-05-18,Women,2024-01-02,54.55
C058,Carol Moore,carol.moore99@outlook.com,31,F,Phoenix,AZ,Occasional,110,4453.65,75,2025-06-24,Women,2024-01-01,59.38
C059,Debra Parker,debra.parker4@gmail.com,38,F,Memphis,TN,Seasonal,87,3096.38,52,2025-06-29,Women,2024-01-05,59.55
C060,Nancy Nguyen,nancy.nguyen5@gmail.com,46,F,Denver,CO,New,77,3030.23,48,2025-06-05,Women,2024-01-20,63.13
C061,Janet Phillips,janet.phillips56@icloud.com,29,F,Las Vegas,NV,Bargain Hunter,104,3968.96,40,2025-06-22,Women,2024-01-05,99.22
C062,Jeffrey Torres,jeffrey.torres33@gmail.com,32,M,Columbus,OH,New,98,3451.02,56,2025-06-29,Men,2024-01-01,61.63
C063,Justin Evans,justin.evans47@hotmail.com,21,M,Columbus,OH,Loyal,101,3528.49,39,2025-06-01,Men,2024-01-08,90.47
C064,Helen Lee,helen.lee93@outlook.com,20,F,San Diego,CA,New,71,2762.04,42,2025-06-26,Women,2024-01-03,65.76
C065,Michelle Sanchez,michelle.sanchez71@yahoo.com,44,F,Boston,MA,Loyal,147,4991.28,61,2025-06-29,Women,2024-01-05,81.82
C066,Debra Mitchell,debra.mitchell79@icloud.com,51,F,Jacksonville,FL,Occasional,77,2804.73,48,2025-06-16,Women,2024-01-22,58.43
C067,George Jackson,george.jackson56@icloud.com,34,M,Charlotte,NC,New,65,2152.35,43,2025-06-17,Men,2024-01-21,50.05
C068,Cynthia Lewis,cynthia.lewis87@yahoo.com,47,F,Raleigh,NC,New,68,2958.57,41,2025-05-29,Women,2024-01-08,72.16
C069,Jack Garcia,jack.garcia66@icloud.com,39,M,Boston,MA,Occasional,47,1548.28,29,2025-06-21,Men,2024-01-11,53.39
C070,Dennis Martin,dennis.martin26@yahoo.com,27,M,Indianapolis,IN,Loyal,123,4142.52,46,2025-06-28,Men,2024-01-01,90.05
C071,Jonathan Flores,jonathan.flores59@hotmail.com,39,M,Phoenix,AZ,Seasonal,64,2222.11,42,2025-06-28,Men,2024-01-05,52.91
C072,Tyler Hall,tyler.hall64@hotmail.com,53,M,Minneapolis,MN,Occasional,77,2846.73,50,2025-06-17,Men,2024-01-05,56.93
C073,Richard Roberts,richard.roberts29@yahoo.com,34,M,Cleveland,OH,Seasonal,101,2897.49,65,2025-06-18,Men,2024-01-03,44.58
C074,Linda Scott,linda.scott16@hotmail.com,53,F,Seattle,WA,Loyal,121,4425.04,42,2025-06-30,Women,2024-01-02,105.36
C075,Christine King,christine.king97@hotmail.com,18,F,Las Vegas,NV,New,86,3161.64,54,2025-06-30,Women,2024-01-02,58.55
C076,Brenda Lewis,brenda.lewis96@hotmail.com,44,F,Austin,TX,Occasional,78,2847.97,48,2025-06-27,Women,2024-01-04,59.33
C077,Patrick Moore,patrick.moore81@yahoo.com,36,M,Tucson,AZ,Occasional,86,2960.39,54,2025-06-30,All,2024-01-02,54.82
C078,Tyler Jackson,tyler.jackson35@outlook.com,31,M,Seattle,WA,Occasional,100,3325.25,66,2025-06-24,Men,2024-01-03,50.38
C079,Thomas Martinez,thomas.martinez50@yahoo.com,36,M,Indianapolis,IN,New,83,2950.42,56,2025-06-13,Men,2024-01-03,52.69
C080,Jacob Clark,jacob.clark70@hotmail.com,0,M,Memphis,TN,Occasional,102,3677.48,58,2025-06-22,Men,2024-01-06,63.4
C081,Jacob Harris,jacob.harris98@icloud.com,32,M,Los Angeles,CA,Occasional,80,2662.7,49,2025-06-25,Men,2024-01-03,54.34
C082,Timothy Martin,timothy.martin54@icloud.com,39,M,Minneapolis,MN,New,82,2633.18,53,2025-06-28,Men,2024-01-05,49.68
C083,Stephen Anderson,stephen.anderson56@hotmail.com,52,M,Nashville,TN,Loyal,135,4741.15,49,2025-06-28,Men,2024-01-01,96.76
C084,Christine Baker,christine.baker93@yahoo.com,28,F,Tampa,FL,Seasonal,86,3077.89,57,2025-06-29,Women,2024-01-24,54.0
C085,Samuel Wright,samuel.wright51@icloud.com,25,M,Los Angeles,CA,New,66,2192.84,39,2025-06-01,Men,2024-01-01,56.23
C086,David Adams,david.adams18@hotmail.com,28,M,Cleveland,OH,Loyal,116,4110.34,45,2025-06-29,Men,2024-01-06,91.34
C087,Deborah Lee,deborah.lee59@outlook.com,45,F,Charlotte,NC,Occasional,96,3553.54,60,2025-06-22,Women,2024-01-05,59.23
C088,Kimberly Carter,kimberly.carter33@gmail.com,38,F,New Orleans,LA,Occasional,81,3326.44,48,2025-06-24,Women,2024-01-02,69.3
C089,Timothy Anderson,timothy.anderson84@gmail.com,28,M,Phoenix,AZ,Seasonal,70,2248.55,51,2025-06-12,Men,2024-01-01,44.09
C090,Anthony Parker,anthony.parker80@yahoo.com,41,M,Los Angeles,CA,Occasional,84,2925.16,57,2025-06-29,Men,2024-01-02,51.32
C091,Christine Davis,christine.davis60@outlook.com,36,F,Charlotte,NC,Seasonal,83,3152.42,53,2025-06-09,Women,2024-01-02,59.48
C092,Frank Hill,frank.hill21@outlook.com,46,M,San Diego,CA,Loyal,124,4444.26,47,2025-06-26,Men,2024-01-06,94.56
C093,George Torres,george.torres51@yahoo.com,26,M,Minneapolis,MN,Loyal,119,3697.06,52,2025-06-14,Men,2024-01-02,71.1
C094,Richard Hall,richard.hall88@icloud.com,31,M,Portland,OR,Seasonal,74,2364.76,49,2025-06-24,Men,2024-01-02,48.26
C095,Timothy Wright,timothy.wright85@outlook.com,30,M,Cleveland,OH,Loyal,123,4666.27,45,2025-06-27,Men,2024-01-18,103.69
C096,Mary Collins,mary.collins63@gmail.com,18,F,New Orleans,LA,Occasional,108,4285.42,58,2025-06-18,Women,2024-01-29,73.89
C097,Samantha Parker,samantha.parker91@yahoo.com,38,F,Sacramento,CA,Occasional,80,3107.7,46,2025-06-18,Women,2024-01-07,67.56
C098,Helen Evans,helen.evans60@hotmail.com,38,F,Fresno,CA,Seasonal,73,3005.27,45,2025-06-29,Women,2024-01-12,66.78
C099,Michelle Collins,michelle.collins12@outlook.com,35,F,Seattle,WA,Seasonal,79,2998.21,52,2025-06-27,Women,2024-01-05,57.66
C100,Eric Torres,eric.torres44@gmail.com,32,M,Minneapolis,MN,Occasional,64,2168.61,46,2025-06-27,Men,2024-01-01,47.14
C101,Nancy Young,nancy.young46@outlook.com,18,F,Charlotte,NC,Occasional,90,3339.35,53,2025-06-29,Women,2024-01-02,63.01
C102,Brenda Smith,brenda.smith11@yahoo.com,29,F,Columbus,OH,New,75,2733.75,54,2025-06-22,Women,2024-01-03,50.62
C103,Brenda Carter,brenda.carter89@hotmail.com,30,F,Seattle,WA,New,59,2157.16,41,2025-06-27,Women,2024-01-01,52.61
C104,Laura Phillips,laura.phillips12@outlook.com,25,F,Los Angeles,CA,Occasional,73,3079.52,43,2025-06-16,Women,2024-01-03,71.62
C105,George Nelson,george.nelson61@icloud.com,33,M,Miami,FL,New,81,2660.19,50,2025-06-30,Men,2024-01-16,53.2
C106,Catherine Scott,catherine.scott46@hotmail.com,39,F,Memphis,TN,Occasional,72,2836.28,46,2025-06-29,Women,2024-01-01,61.66
C107,Sandra Davis,sandra.davis41@gmail.com,57,F,Columbus,OH,New,68,2574.57,46,2025-06-26,Women,2024-01-02,55.97
C108,Anthony Wilson,anthony.wilson36@icloud.com,37,M,Fresno,CA,Bargain Hunter,125,4574.5,46,2025-06-19,Men,2024-01-04,99.45
C109,Susan Parker,susan.parker38@yahoo.com,38,F,Columbus,OH,Occasional,93,3369.32,50,2025-06-30,Women,2024-01-07,67.39
C110,Mary Rivera,mary.rivera36@gmail.com,34,F,Dallas,TX,Bargain Hunter,134,4442.41,49,2025-06-29,Women,2024-01-03,90.66
C111,Rachel Rodriguez,rachel.rodriguez14@gmail.com,18,F,Tucson,AZ,New,81,4078.69,49,2025-06-25,Women,2024-01-02,83.24
C112,Kathleen Lewis,kathleen.lewis24@gmail.com,34,F,Memphis,TN,Occasional,93,3556.32,59,2025-06-28,Women,2024-01-03,60.28
C113,Jessica Turner,jessica.turner52@hotmail.com,35,F,Phoenix,AZ,Loyal,114,3942.11,48,2025-05-16,Women,2024-01-03,82.13
C114,Charles Martinez,charles.martinez11@yahoo.com,64,M,Portland,OR,Loyal,127,4002.48,47,2025-06-04,Men,2024-01-21,85.16
C115,Nicole Hill,nicole.hill67@hotmail.com,32,F,Indianapolis,IN,Occasional,79,2946.21,48,2025-06-11,Women,2024-01-05,61.38
C116,Donna Edwards,donna.edwards40@icloud.com,38,F,Cleveland,OH,New,82,3130.43,53,2025-06-16,Women,2024-01-04,59.06
C117,Mark Green,mark.green34@gmail.com,145,M,Charlotte,NC,Loyal,94,3587.06,41,2025-06-28,Men,2024-02-15,87.49
C118,Brandon Jones,brandon.jones1@hotmail.com,20,M,Austin,TX,Occasional,72,2665.78,43,2025-06-05,Men,2024-01-10,61.99
C119,Emily Williams,emily.williams37@outlook.com,48,F,Indianapolis,IN,New,74,2770.51,49,2025-06-29,Women,2024-01-01,56.54
C120,Barbara Baker,barbara.baker34@icloud.com,44,F,Indianapolis,IN,New,66,2713.59,40,2025-06-28,Women,2024-01-05,67.84
C121,Gary Davis,gary.davis83@yahoo.com,44,M,Indianapolis,IN,Bargain Hunter,133,4170.17,47,2025-06-27,Men,2024-01-03,88.73
C122,William Brown,william.brown40@icloud.com,24,M,Austin,TX,New,86,2814.64,56,2025-06-28,Men,2024-01-01,50.26
C123,Laura Davis,laura.davis89@outlook.com,51,F,Sacramento,CA,New,71,2933.54,44,2025-06-26,Women,2024-01-03,66.67
C124,Angela Wright,angela.wright57@gmail.com,18,F,Tucson,AZ,New,74,3001.01,46,2025-06-29,Women,2024-01-03,65.24
C125,Catherine Lee,catherine.lee4@gmail.com,42,F,Denver,CO,Occasional,69,2584.06,49,2025-06-27,Women,2024-01-03,52.74
C126,Dennis Turner,dennis.turner74@gmail.com,61,M,Nashville,TN,Seasonal,86,3260.64,54,2025-06-28,Men,2024-01-06,60.38
C127,Jonathan King,jonathan.king36@yahoo.com,23,M,Raleigh,NC,Bargain Hunter,146,4971.04,53,2025-06-17,Men,2024-01-05,93.79
C128,Samantha Turner,samantha.turner12@hotmail.com,28,F,Tucson,AZ,Occasional,73,3023.77,49,2025-06-28,Women,2024-01-19,61.71
C129,Michelle Nelson,michelle.nelson21@outlook.com,36,F,San Antonio,TX,Occasional,61,2173.14,42,2025-05-03,Women,2024-01-02,51.74
C130,Emily Nelson,emily.nelson98@icloud.com,28,F,Tampa,FL,Loyal,123,4079.52,46,2025-06-03,Women,2024-01-06,88.69
C131,Edward Taylor,edward.taylor15@hotmail.com,18,M,Las Vegas,NV,Seasonal,76,2358.74,53,2025-06-23,Men,2024-01-10,44.5
C132,Jack Edwards,jack.edwards53@gmail.com,35,M,Sacramento,CA,Loyal,146,5437.04,54,2025-06-27,Men,2024-01-07,100.69
C133,Helen Carter,helen.carter81@hotmail.com,22,F,Tucson,AZ,Seasonal,68,2786.32,39,2025-06-13,Women,2024-01-04,71.44
C134,Kevin Scott,kevin.scott37@hotmail.com,40,M,Dallas,TX,Seasonal,83,2779.42,52,2025-06-27,Men,2024-01-20,53.45
C135,Jessica Johnson,jessica.johnson91@yahoo.com,23,F,Seattle,WA,Occasional,81,3310.69,47,2025-06-22,Women,2024-01-04,70.44
C136,Brandon Clark,brandon.clark29@gmail.com,53,M,Philadelphia,PA,Occasional,67,2146.33,43,2025-05-28,Men,2024-01-01,49.91
C137,Alexander Parker,alexander.parker64@outlook.com,25,M,San Jose,CA,New,80,2920.7,56,2025-06-24,Men,2024-01-08,52.16
C138,Rebecca Parker,rebecca.parker61@yahoo.com,31,F,Fresno,CA,Occasional,95,3457.8,63,2025-06-30,Women,2024-01-14,54.89
C139,Jeffrey Gonzalez,jeffrey.gonzalez9@outlook.com,44,M,Dallas,TX,Seasonal,115,3413.85,69,2025-06-29,Men,2024-01-27,49.48
C140,Carol Phillips,carol.phillips1@outlook.com,20,F,Nashville,TN,New,66,2328.09,38,2025-06-30,Women,2024-01-06,61.27
C141,Karen Lewis,karen.lewis45@outlook.com,37,F,Fresno,CA,New,82,2871.18,48,2025-06-28,Women,2024-01-21,59.82
C142,Cynthia Lee,cynthia.lee90@yahoo.com,50,F,Columbus,OH,New,71,2830.04,46,2025-06-18,Women,2024-01-22,61.52
C143,Jacob Williams,jacob.williams96@hotmail.com,18,M,Las Vegas,NV,New,64,2141.11,45,2025-06-30,Men,2024-01-03,47.58
C144,Deborah Nelson,deborah.nelson64@gmail.com,37,F,San Jose,CA,Loyal,126,4480.99,50,2025-06-21,Women,2024-01-04,89.62
C145,Susan Edwards,susan.edwards13@icloud.com,38,F,Raleigh,NC,Bargain Hunter,121,4294.04,46,2025-06-26,Women,2024-01-14,93.35
C146,Aaron Martinez,aaron.martinez84@yahoo.com,44,M,New Orleans,LA,Loyal,112,3890.38,47,2025-06-29,Men,2024-01-06,82.77
C147,Carol Flores,carol.flores84@gmail.com,20,F,Tampa,FL,Seasonal,89,3422.86,51,2025-05-22,Women,2024-01-11,67.11
C148,Michelle Green,michelle.green70@gmail.com,19,F,Tucson,AZ,New,66,2043.09,39,2025-06-09,Women,2024-01-05,52.39
C149,Patrick Baker,patrick.baker30@gmail.com,41,M,Boston,MA,Occasional,76,2518.49,46,2025-06-18,Men,2024-01-14,54.75
C150,Patrick Rivera,patrick.rivera57@yahoo.com,38,M,San Antonio,TX,New,63,1792.37,47,2025-06-28,All,2024-01-02,38.14
C151,Robert Lee,robert.lee38@outlook.com,38,M,Houston,TX,Occasional,71,3000.54,51,2025-06-10,Men,2024-01-01,58.83
C152,Steven King,steven.king73@yahoo.com,39,M,New Orleans,LA,Loyal,126,4574.74,49,2025-06-25,Men,2024-01-06,93.36
C153,Samuel Edwards,samuel.edwards80@yahoo.com,26,M,Minneapolis,MN,Occasional,91,2988.34,54,2025-06-24,Men,2024-01-01,55.34
C154,Paul Robinson,paul.robinson59@outlook.com,37,M,Denver,CO,New,70,1963.05,45,2025-05-09,Men,2024-01-01,43.62
C155,Emily Baker,emily.baker10@hotmail.com,38,F,Austin,TX,Bargain Hunter,144,5631.81,54,2025-06-28,Women,2024-01-04,104.29
C156,Samantha Ramirez,samantha.ramirez59@outlook.com,26,F,Denver,CO,Loyal,149,5506.01,58,2025-06-30,Women,2024-01-04,94.93
C157,Kathleen Miller,kathleen.miller49@icloud.com,57,F,Seattle,WA,Occasional,85,3546.4,55,2025-06-11,Women,2024-01-07,64.48
C158,Rachel Jackson,rachel.jackson85@hotmail.com,40,F,Los Angeles,CA,Occasional,64,2399.36,45,2025-06-04,Women,2024-01-06,53.32
C159,Frank Mitchell,frank.mitchell37@yahoo.com,20,M,Tucson,AZ,New,77,2503.23,49,2025-06-24,Men,2024-01-07,51.09
C160,Sandra Green,sandra.green80@outlook.com,42,F,Columbus,OH,New,88,3356.12,57,2025-06-28,Women,2024-01-05,58.88
C161,Patrick Miller,patrick.miller40@hotmail.com,23,M,Chicago,IL,Loyal,126,3697.99,51,2025-06-24,Men,2024-01-02,72.51
C162,Janet Rodriguez,janet.rodriguez38@outlook.com,44,F,Philadelphia,PA,New,89,3562.61,52,2025-06-14,Women,2024-01-02,68.51
C163,Anthony Rodriguez,anthony.rodriguez68@icloud.com,48,M,Miami,FL,Bargain Hunter,132,3949.43,46,2025-06-14,Men,2024-01-29,85.86
C164,Andrew Turner,andrew.turner38@outlook.com,25,M,Fresno,CA,Seasonal,70,2022.05,43,2025-06-14,Men,2024-01-02,47.02
C165,Barbara Martinez,barbara.martinez87@hotmail.com,46,F,Indianapolis,IN,Bargain Hunter,143,4876.82,49,2025-04-22,Women,2024-01-06,99.53
C166,Elizabeth Phillips,elizabeth.phillips2@outlook.com,39,F,Tampa,FL,New,76,3410.99,46,2025-06-03,Women,2024-01-03,74.15
C167,Melissa Baker,melissa.baker75@hotmail.com,44,F,Denver,CO,Seasonal,72,2769.53,47,2025-06-27,Women,2024-02-03,58.93
C168,Susan Baker,susan.baker61@gmail.com,57,F,Indianapolis,IN,New,99,3922.26,60,2025-06-06,Women,2024-01-02,65.37
C169,Helen Anderson,helen.anderson82@hotmail.com,32,F,Phoenix,AZ,Bargain Hunter,190,6496.6,67,2025-06-25,Women,2024-01-03,96.96
C170,Katherine Clark,katherine.clark18@gmail.com,25,F,San Diego,CA,Bargain Hunter,160,6224.65,56,2025-06-15,Women,2024-01-02,111.15
C171,Amy Davis,amy.davis31@icloud.com,24,F,San Antonio,TX,Loyal,116,4600.34,46,2025-06-30,Women,2024-01-02,100.01
C172,Melissa Nelson,melissa.nelson76@yahoo.com,25,F,New Orleans,LA,Seasonal,93,3965.82,61,2025-06-18,Women,2024-01-08,65.01
C173,Stephen Flores,stephen.flores36@gmail.com,34,M,New Orleans,LA,New,58,2093.92,39,2025-06-29,Men,2024-01-12,53.69
C174,Nicholas Lewis,nicholas.lewis47@gmail.com,39,M,Seattle,WA,Bargain Hunter,136,3912.64,47,2025-06-01,Men,2024-01-12,83.25
C175,Anna Adams,anna.adams8@hotmail.com,38,F,Atlanta,GA,Occasional,60,2241.9,44,2025-06-06,Women,2024-01-02,50.95
C176,Eric Garcia,eric.garcia83@icloud.com,44,M,Charlotte,NC,Bargain Hunter,132,4389.43,46,2025-06-07,Men,2024-01-04,95.42
C177,Ronald Thomas,ronald.thomas73@yahoo.com,35,M,Dallas,TX,Loyal,106,3201.44,47,2025-06-30,Men,2024-01-06,68.12
C178,Gregory Wilson,gregory.wilson43@yahoo.com,52,M,Indianapolis,IN,Seasonal,92,2467.83,57,2025-06-08,Men,2024-01-04,43.3
C179,Kevin Collins,kevin.collins17@icloud.com,31,M,San Jose,CA,Occasional,61,2052.64,42,2025-06-21,All,2024-01-03,48.87
C180,Joseph Nelson,joseph.nelson17@gmail.com,67,M,Los Angeles,CA,Occasional,55,1797.45,36,2025-06-08,Men,2024-01-07,49.93
C181,Gregory Lee,gregory.lee23@outlook.com,42,M,Los Angeles,CA,Loyal,131,4445.94,48,2025-06-26,Men,2024-01-05,92.62
C182,Shirley Davis,shirley.davis61@hotmail.com,24,F,Phoenix,AZ,Seasonal,76,3052.74,44,2025-06-10,Women,2024-01-02,69.38
C183,Nicholas Allen,nicholas.allen79@gmail.com,22,M,Indianapolis,IN,New,87,3004.88,49,2025-06-29,Men,2024-01-07,61.32
C184,Cynthia Adams,cynthia.adams8@hotmail.com,40,F,Los Angeles,CA,Seasonal,82,2988.43,55,2025-06-18,Women,2024-01-04,54.34
C185,Debra Miller,debra.miller92@hotmail.com,32,F,Tucson,AZ,Loyal,175,6689.25,68,2025-06-26,Women,2024-01-13,98.37
C186,Edward Hill,edward.hill9@yahoo.com,43,M,San Jose,CA,Occasional,88,3623.62,54,2025-06-24,Men,2024-01-06,67.1
C187,Deborah Hill,deborah.hill59@icloud.com,40,F,Boston,MA,New,70,2917.05,45,2025-06-11,Women,2024-01-03,64.82
C188,Jerry Davis,jerry.davis56@hotmail.com,34,M,Charlotte,NC,Seasonal,75,2501.25,47,2025-06-14,Men,2024-01-04,53.22
C189,Carol Turner,carol.turner52@hotmail.com,24,F,Sacramento,CA,New,64,2303.36,41,2025-06-27,Women,2024-01-05,56.18
C190,Sharon Lee,sharon.lee48@yahoo.com,18,F,Denver,CO,New,92,3431.08,61,2025-06-24,Women,2024-01-01,56.25
