customer_id,name,email,age,gender,city,state,segment,total_items_purchased,total_spent,num_orders,last_purchase_date,favourite_category,first_purchase_date,avg_order_value,age_group
C016,Brenda Edwards,brenda.edwards88@gmail.com,28.0,F,New York,NY,New,90,3084.35,50,2025-06-15,Women,2024-01-06,61.69,25-34
C017,Heather Adams,heather.adams15@outlook.com,22.0,F,Memphis,TN,Occasional,60,1840.4,40,2025-06-06,Women,2024-01-01,46.01,18-24
C018,Mary Campbell,mary.campbell65@yahoo.com,38.0,F,Denver,CO,New,60,2389.15,35,2025-06-14,Women,2024-01-05,68.26,35-44
C019,Patrick Martin,patrick.martin20@outlook.com,24.0,M,Columbus,OH,Seasonal,71,2220.29,46,2025-06-21,Men,2024-01-05,48.27,18-24
C020,Frank Lee,frank.lee3@gmail.com,18.0,M,Tucson,AZ,Bargain Hunter,161,4935.14,59,2025-06-22,Men,2024-01-03,83.65,18-24
C021,Ashley Brown,ashley.brown73@gmail.com,52.0,F,Seattle,WA,Loyal,128,4962.72,53,2025-06-21,Women,2024-01-02,93.64,45-54
C022,Barbara Carter,barbara.carter17@hotmail.com,32.0,F,Dallas,TX,Bargain Hunter,126,4914.24,41,2025-06-23,Women,2024-01-03,119.86,25-34
C023,Andrew King,andrew.king28@icloud.com,35.0,M,Cleveland,OH,Seasonal,90,3173.6,54,2025-06-24,Men,2024-01-01,58.77,35-44
C024,Tyler Martin,tyler.martin86@outlook.com,18.0,M,Tampa,FL,Occasional,80,2641.7,46,2025-06-03,Men,2024-01-01,57.43,18-24
C025,Jessica Thomas,jessica.thomas9@outlook.com,28.0,F,Indianapolis,IN,Loyal,138,5147.87,48,2025-06-29,Women,2024-01-20,107.25,25-34
C026,Gregory Anderson,gregory.anderson10@gmail.com,36.0,M,New York,NY,Occasional,76,3146.99,51,2025-06-26,Men,2024-01-03,61.71,35-44
C027,Ronald Jones,ronald.jones36@hotmail.com,21.0,M,Seattle,WA,Occasional,109,3701.91,64,2025-06-24,Men,2024-01-03,57.84,18-24
C028,Aaron Torres,aaron.torres32@hotmail.com,39.0,M,Fresno,CA,Seasonal,92,2961.33,56,2025-06-30,Men,2024-01-02,52.88,35-44
C029,Richard Miller,richard.miller46@hotmail.com,27.0,M,Cleveland,OH,Occasional,104,3589.71,59,2025-06-26,Men,2024-01-03,60.84,25-34
C030,Dennis Adams,dennis.adams8@hotmail.com,31.0,M,San Antonio,TX,New,88,2843.62,56,2025-06-28,Men,2024-01-02,50.78,25-34
C031,Steven Gonzalez,steven.gonzalez69@hotmail.com,27.0,M,Columbus,OH,Loyal,125,4141.5,51,2025-06-19,Men,2024-01-05,81.21,25-34
C032,Kevin Robinson,kevin.robinson10@hotmail.com,57.0,M,Seattle,WA,Seasonal,72,2384.78,42,2025-06-14,Men,2024-01-01,56.78,55-64
C033,Michael Adams,michael.adams12@yahoo.com,34.0,M,New York,NY,Loyal,144,5850.06,63,2025-06-30,Men,2024-02-03,92.86,25-34
C034,Kathleen Wilson,kathleen.wilson8@yahoo.com,22.0,F,Tampa,FL,Occasional,75,2947.0,47,2025-05-18,Women,2024-01-05,62.7,18-24
C035,Dorothy Phillips,dorothy.phillips37@hotmail.com,44.0,F,Sacramento,CA,New,50,1915.75,33,2025-06-30,Women,2024-02-29,58.05,35-44
C036,Karen Gonzalez,karen.gonzalez28@gmail.com,20.0,F,Boston,MA,New,62,2120.13,45,2025-06-30,Women,2024-01-07,47.11,18-24
C037,Henry Lee,henry.lee7@icloud.com,37.0,M,Houston,TX,Occasional,103,3949.47,62,2025-06-07,Men,2024-01-30,63.7,35-44
C038,Michael Allen,michael.allen24@gmail.com,18.0,M,Philadelphia,PA,New,90,2958.1,60,2025-06-15,Men,2024-01-04,49.3,18-24
C039,Ryan Davis,ryan.davis75@icloud.com,19.0,M,Seattle,WA,Loyal,102,3539.98,43,2025-06-29,Men,2024-01-17,82.33,18-24
C040,Jacob Nelson,jacob.nelson34@yahoo.com,37.0,M,Las Vegas,NV,New,68,2250.32,42,2025-06-25,Men,2024-01-07,53.58,35-44
C041,Ashley Taylor,ashley.taylor17@outlook.com,43.0,F,Tampa,FL,Occasional,87,3232.88,47,2025-06-11,Women,2024-01-01,68.78,35-44
C042,James Robinson,james.robinson10@icloud.com,37.0,M,San Antonio,TX,Occasional,92,2753.08,55,2025-06-25,All,2024-01-16,50.06,35-44
C043,Sarah Thompson,sarah.thompson32@outlook.com,33.0,F,Phoenix,AZ,Occasional,77,2915.48,53,2025-06-29,Women,2024-01-06,55.01,25-34
C044,Anna Rivera,anna.rivera79@icloud.com,31.0,F,Portland,OR,Loyal,161,5842.89,63,2025-06-21,Women,2024-01-01,92.74,25-34
C045,Christine Miller,christine.miller34@gmail.com,18.0,F,Dallas,TX,Seasonal,80,3194.95,49,2025-06-14,Women,2024-01-01,65.2,18-24
C046,Kevin Jackson,kevin.jackson92@outlook.com,26.0,M,Charlotte,NC,Occasional,82,3306.68,46,2025-06-17,Men,2024-01-04,71.88,25-34
C047,Angela Young,angela.young7@gmail.com,29.0,F,Denver,CO,New,86,3157.14,51,2025-06-14,Women,2024-01-04,61.9,25-34
C048,Jennifer Smith,jennifer.smith99@yahoo.com,47.0,F,Memphis,TN,New,72,2898.28,53,2025-06-21,Women,2024-01-02,54.68,45-54
C049,Lisa Mitchell,lisa.mitchell71@hotmail.com,39.0,F,Raleigh,NC,New,81,3115.69,54,2025-06-29,Women,2024-01-04,57.7,35-44
C050,William Hall,william.hall70@gmail.com,18.0,M,San Jose,CA,Seasonal,88,2832.62,52,2025-06-26,Men,2024-01-20,54.47,18-24
C051,Gary Rodriguez,gary.rodriguez40@outlook.com,38.0,M,Chicago,IL,Seasonal,83,2619.67,56,2025-05-16,Men,2024-01-02,46.78,35-44
C052,Timothy Wilson,timothy.wilson86@gmail.com,30.0,M,Seattle,WA,Occasional,88,3147.87,50,2025-06-30,Men,2024-01-21,62.96,25-34
C053,Helen Mitchell,helen.mitchell31@yahoo.com,26.0,F,San Jose,CA,Bargain Hunter,112,4396.63,43,2025-06-05,Women,2024-01-03,102.25,25-34
C054,Jacob Johnson,jacob.johnson95@outlook.com,42.0,M,Jacksonville,FL,Seasonal,64,2179.36,44,2025-06-01,Men,2024-01-05,49.53,35-44
C055,Christine Edwards,christine.edwards35@yahoo.com,47.0,F,Seattle,WA,Seasonal,77,3131.98,48,2025-06-26,Women,2024-01-02,65.25,45-54
C056,Jeffrey Edwards,jeffrey.edwards61@yahoo.com,46.0,M,Chicago,IL,Loyal,127,4772.73,51,2025-06-18,Men,2024-01-07,93.58,45-54
C057,Amanda Martin,amanda.martin29@gmail.com,24.0,F,Indianapolis,IN,New,69,2564.06,47,2025-05-18,Women,2024-01-02,54.55,18-24
C058,Carol Moore,carol.moore99@outlook.com,31.0,F,Phoenix,AZ,Occasional,110,4453.65,75,2025-06-24,Women,2024-01-01,59.38,25-34
C059,Debra Parker,debra.parker4@gmail.com,38.0,F,Memphis,TN,Seasonal,87,3096.38,52,2025-06-29,Women,2024-01-05,59.55,35-44
C060,Nancy Nguyen,nancy.nguyen5@gmail.com,46.0,F,Denver,CO,New,77,3030.23,48,2025-06-05,Women,2024-01-20,63.13,45-54
C061,Janet Phillips,janet.phillips56@icloud.com,29.0,F,Las Vegas,NV,Bargain Hunter,104,3968.96,40,2025-06-22,Women,2024-01-05,99.22,25-34
C062,Jeffrey Torres,jeffrey.torres33@gmail.com,32.0,M,Columbus,OH,New,98,3451.02,56,2025-06-29,Men,2024-01-01,61.63,25-34
C063,Justin Evans,justin.evans47@hotmail.com,21.0,M,Columbus,OH,Loyal,101,3528.49,39,2025-06-01,Men,2024-01-08,90.47,18-24
C064,Helen Lee,helen.lee93@outlook.com,20.0,F,San Diego,CA,New,71,2762.04,42,2025-06-26,Women,2024-01-03,65.76,18-24
C065,Michelle Sanchez,michelle.sanchez71@yahoo.com,44.0,F,Boston,MA,Loyal,147,4991.28,61,2025-06-29,Women,2024-01-05,81.82,35-44
C066,Debra Mitchell,debra.mitchell79@icloud.com,51.0,F,Jacksonville,FL,Occasional,77,2804.73,48,2025-06-16,Women,2024-01-22,58.43,45-54
C067,George Jackson,george.jackson56@icloud.com,34.0,M,Charlotte,NC,New,65,2152.35,43,2025-06-17,Men,2024-01-21,50.05,25-34
C068,Cynthia Lewis,cynthia.lewis87@yahoo.com,47.0,F,Raleigh,NC,New,68,2958.57,41,2025-05-29,Women,2024-01-08,72.16,45-54
C069,Jack Garcia,jack.garcia66@icloud.com,39.0,M,Boston,MA,Occasional,47,1548.28,29,2025-06-21,Men,2024-01-11,53.39,35-44
C070,Dennis Martin,dennis.martin26@yahoo.com,27.0,M,Indianapolis,IN,Loyal,123,4142.52,46,2025-06-28,Men,2024-01-01,90.05,25-34
C071,Jonathan Flores,jonathan.flores59@hotmail.com,39.0,M,Phoenix,AZ,Seasonal,64,2222.11,42,2025-06-28,Men,2024-01-05,52.91,35-44
C072,Tyler Hall,tyler.hall64@hotmail.com,53.0,M,Minneapolis,MN,Occasional,77,2846.73,50,2025-06-17,Men,2024-01-05,56.93,45-54
C073,Richard Roberts,richard.roberts29@yahoo.com,34.0,M,Cleveland,OH,Seasonal,101,2897.49,65,2025-06-18,Men,2024-01-03,44.58,25-34
C074,Linda Scott,linda.scott16@hotmail.com,53.0,F,Seattle,WA,Loyal,121,4425.04,42,2025-06-30,Women,2024-01-02,105.36,45-54
C075,Christine King,christine.king97@hotmail.com,18.0,F,Las Vegas,NV,New,86,3161.64,54,2025-06-30,Women,2024-01-02,58.55,18-24
C076,Brenda Lewis,brenda.lewis96@hotmail.com,44.0,F,Austin,TX,Occasional,78,2847.97,48,2025-06-27,Women,2024-01-04,59.33,35-44
C077,Patrick Moore,patrick.moore81@yahoo.com,36.0,M,Tucson,AZ,Occasional,86,2960.39,54,2025-06-30,All,2024-01-02,54.82,35-44
C078,Tyler Jackson,tyler.jackson35@outlook.com,31.0,M,Seattle,WA,Occasional,100,3325.25,66,2025-06-24,Men,2024-01-03,50.38,25-34
C079,Thomas Martinez,thomas.martinez50@yahoo.com,36.0,M,Indianapolis,IN,New,83,2950.42,56,2025-06-13,Men,2024-01-03,52.69,35-44
C080,Jacob Clark,jacob.clark70@hotmail.com,,M,Memphis,TN,Occasional,102,3677.48,58,2025-06-22,Men,2024-01-06,63.4,Unknown
C081,Jacob Harris,jacob.harris98@icloud.com,32.0,M,Los Angeles,CA,Occasional,80,2662.7,49,2025-06-25,Men,2024-01-03,54.34,25-34
C082,Timothy Martin,timothy.martin54@icloud.com,39.0,M,Minneapolis,MN,New,82,2633.18,53,2025-06-28,Men,2024-01-05,49.68,35-44
C083,Stephen Anderson,stephen.anderson56@hotmail.com,52.0,M,Nashville,TN,Loyal,135,4741.15,49,2025-06-28,Men,2024-01-01,96.76,45-54
C084,Christine Baker,christine.baker93@yahoo.com,28.0,F,Tampa,FL,Seasonal,86,3077.89,57,2025-06-29,Women,2024-01-24,54.0,25-34
C085,Samuel Wright,samuel.wright51@icloud.com,25.0,M,Los Angeles,CA,New,66,2192.84,39,2025-06-01,Men,2024-01-01,56.23,25-34
C086,David Adams,david.adams18@hotmail.com,28.0,M,Cleveland,OH,Loyal,116,4110.34,45,2025-06-29,Men,2024-01-06,91.34,25-34
C087,Deborah Lee,deborah.lee59@outlook.com,45.0,F,Charlotte,NC,Occasional,96,3553.54,60,2025-06-22,Women,2024-01-05,59.23,45-54
C088,Kimberly Carter,kimberly.carter33@gmail.com,38.0,F,New Orleans,LA,Occasional,81,3326.44,48,2025-06-24,Women,2024-01-02,69.3,35-44
C089,Timothy Anderson,timothy.anderson84@gmail.com,28.0,M,Phoenix,AZ,Seasonal,70,2248.55,51,2025-06-12,Men,2024-01-01,44.09,25-34
C090,Anthony Parker,anthony.parker80@yahoo.com,41.0,M,Los Angeles,CA,Occasional,84,2925.16,57,2025-06-29,Men,2024-01-02,51.32,35-44
C091,Christine Davis,christine.davis60@outlook.com,36.0,F,Charlotte,NC,Seasonal,83,3152.42,53,2025-06-09,Women,2024-01-02,59.48,35-44
C092,Frank Hill,frank.hill21@outlook.com,46.0,M,San Diego,CA,Loyal,124,4444.26,47,2025-06-26,Men,2024-01-06,94.56,45-54
C093,George Torres,george.torres51@yahoo.com,26.0,M,Minneapolis,MN,Loyal,119,3697.06,52,2025-06-14,Men,2024-01-02,71.1,25-34
C094,Richard Hall,richard.hall88@icloud.com,31.0,M,Portland,OR,Seasonal,74,2364.76,49,2025-06-24,Men,2024-01-02,48.26,25-34
C095,Timothy Wright,timothy.wright85@outlook.com,30.0,M,Cleveland,OH,Loyal,123,4666.27,45,2025-06-27,Men,2024-01-18,103.69,25-34
C096,Mary Collins,mary.collins63@gmail.com,18.0,F,New Orleans,LA,Occasional,108,4285.42,58,2025-06-18,Women,2024-01-29,73.89,18-24
C097,Samantha Parker,samantha.parker91@yahoo.com,38.0,F,Sacramento,CA,Occasional,80,3107.7,46,2025-06-18,Women,2024-01-07,67.56,35-44
C098,Helen Evans,helen.evans60@hotmail.com,38.0,F,Fresno,CA,Seasonal,73,3005.27,45,2025-06-29,Women,2024-01-12,66.78,35-44
C099,Michelle Collins,michelle.collins12@outlook.com,35.0,F,Seattle,WA,Seasonal,79,2998.21,52,2025-06-27,Women,2024-01-05,57.66,35-44
C100,Eric Torres,eric.torres44@gmail.com,32.0,M,Minneapolis,MN,Occasional,64,2168.61,46,2025-06-27,Men,2024-01-01,47.14,25-34
C101,Nancy Young,nancy.young46@outlook.com,18.0,F,Charlotte,NC,Occasional,90,3339.35,53,2025-06-29,Women,2024-01-02,63.01,18-24
C102,Brenda Smith,brenda.smith11@yahoo.com,29.0,F,Columbus,OH,New,75,2733.75,54,2025-06-22,Women,2024-01-03,50.62,25-34
C103,Brenda Carter,brenda.carter89@hotmail.com,30.0,F,Seattle,WA,New,59,2157.16,41,2025-06-27,Women,2024-01-01,52.61,25-34
C104,Laura Phillips,laura.phillips12@outlook.com,25.0,F,Los Angeles,CA,Occasional,73,3079.52,43,2025-06-16,Women,2024-01-03,71.62,25-34
C105,George Nelson,george.nelson61@icloud.com,33.0,M,Miami,FL,New,81,2660.19,50,2025-06-30,Men,2024-01-16,53.2,25-34
C106,Catherine Scott,catherine.scott46@hotmail.com,39.0,F,Memphis,TN,Occasional,72,2836.28,46,2025-06-29,Women,2024-01-01,61.66,35-44
C107,Sandra Davis,sandra.davis41@gmail.com,57.0,F,Columbus,OH,New,68,2574.57,46,2025-06-26,Women,2024-01-02,55.97,55-64
C108,Anthony Wilson,anthony.wilson36@icloud.com,37.0,M,Fresno,CA,Bargain Hunter,125,4574.5,46,2025-06-19,Men,2024-01-04,99.45,35-44
C109,Susan Parker,susan.parker38@yahoo.com,38.0,F,Columbus,OH,Occasional,93,3369.32,50,2025-06-30,Women,2024-01-07,67.39,35-44
C110,Mary Rivera,mary.rivera36@gmail.com,34.0,F,Dallas,TX,Bargain Hunter,134,4442.41,49,2025-06-29,Women,2024-01-03,90.66,25-34
C111,Rachel Rodriguez,rachel.rodriguez14@gmail.com,18.0,F,Tucson,AZ,New,81,4078.69,49,2025-06-25,Women,2024-01-02,83.24,18-24
C112,Kathleen Lewis,kathleen.lewis24@gmail.com,34.0,F,Memphis,TN,Occasional,93,3556.32,59,2025-06-28,Women,2024-01-03,60.28,25-34
C113,Jessica Turner,jessica.turner52@hotmail.com,35.0,F,Phoenix,AZ,Loyal,114,3942.11,48,2025-05-16,Women,2024-01-03,82.13,35-44
C114,Charles Martinez,charles.martinez11@yahoo.com,64.0,M,Portland,OR,Loyal,127,4002.48,47,2025-06-04,Men,2024-01-21,85.16,55-64
C115,Nicole Hill,nicole.hill67@hotmail.com,32.0,F,Indianapolis,IN,Occasional,79,2946.21,48,2025-06-11,Women,2024-01-05,61.38,25-34
C116,Donna Edwards,donna.edwards40@icloud.com,38.0,F,Cleveland,OH,New,82,3130.43,53,2025-06-16,Women,2024-01-04,59.06,35-44
C117,Mark Green,mark.green34@gmail.com,,M,Charlotte,NC,Loyal,94,3587.06,41,2025-06-28,Men,2024-02-15,87.49,Unknown
C118,Brandon Jones,brandon.jones1@hotmail.com,20.0,M,Austin,TX,Occasional,72,2665.78,43,2025-06-05,Men,2024-01-10,61.99,18-24
C119,Emily Williams,emily.williams37@outlook.com,48.0,F,Indianapolis,IN,New,74,2770.51,49,2025-06-29,Women,2024-01-01,56.54,45-54
C120,Barbara Baker,barbara.baker34@icloud.com,44.0,F,Indianapolis,IN,New,66,2713.59,40,2025-06-28,Women,2024-01-05,67.84,35-44
C121,Gary Davis,gary.davis83@yahoo.com,44.0,M,Indianapolis,IN,Bargain Hunter,133,4170.17,47,2025-06-27,Men,2024-01-03,88.73,35-44
C122,William Brown,william.brown40@icloud.com,24.0,M,Austin,TX,New,86,2814.64,56,2025-06-28,Men,2024-01-01,50.26,18-24
C123,Laura Davis,laura.davis89@outlook.com,51.0,F,Sacramento,CA,New,71,2933.54,44,2025-06-26,Women,2024-01-03,66.67,45-54
C124,Angela Wright,angela.wright57@gmail.com,18.0,F,Tucson,AZ,New,74,3001.01,46,2025-06-29,Women,2024-01-03,65.24,18-24
C125,Catherine Lee,catherine.lee4@gmail.com,42.0,F,Denver,CO,Occasional,69,2584.06,49,2025-06-27,Women,2024-01-03,52.74,35-44
C126,Dennis Turner,dennis.turner74@gmail.com,61.0,M,Nashville,TN,Seasonal,86,3260.64,54,2025-06-28,Men,2024-01-06,60.38,55-64
C127,Jonathan King,jonathan.king36@yahoo.com,23.0,M,Raleigh,NC,Bargain Hunter,146,4971.04,53,2025-06-17,Men,2024-01-05,93.79,18-24
C128,Samantha Turner,samantha.turner12@hotmail.com,28.0,F,Tucson,AZ,Occasional,73,3023.77,49,2025-06-28,Women,2024-01-19,61.71,25-34
C129,Michelle Nelson,michelle.nelson21@outlook.com,36.0,F,San Antonio,TX,Occasional,61,2173.14,42,2025-05-03,Women,2024-01-02,51.74,35-44
C130,Emily Nelson,emily.nelson98@icloud.com,28.0,F,Tampa,FL,Loyal,123,4079.52,46,2025-06-03,Women,2024-01-06,88.69,25-34
C131,Edward Taylor,edward.taylor15@hotmail.com,18.0,M,Las Vegas,NV,Seasonal,76,2358.74,53,2025-06-23,Men,2024-01-10,44.5,18-24
C132,Jack Edwards,jack.edwards53@gmail.com,35.0,M,Sacramento,CA,Loyal,146,5437.04,54,2025-06-27,Men,2024-01-07,100.69,35-44
C133,Helen Carter,helen.carter81@hotmail.com,22.0,F,Tucson,AZ,Seasonal,68,2786.32,39,2025-06-13,Women,2024-01-04,71.44,18-24
C134,Kevin Scott,kevin.scott37@hotmail.com,40.0,M,Dallas,TX,Seasonal,83,2779.42,52,2025-06-27,Men,2024-01-20,53.45,35-44
C135,Jessica Johnson,jessica.johnson91@yahoo.com,23.0,F,Seattle,WA,Occasional,81,3310.69,47,2025-06-22,Women,2024-01-04,70.44,18-24
C136,Brandon Clark,brandon.clark29@gmail.com,53.0,M,Philadelphia,PA,Occasional,67,2146.33,43,2025-05-28,Men,2024-01-01,49.91,45-54
C137,Alexander Parker,alexander.parker64@outlook.com,25.0,M,San Jose,CA,New,80,2920.7,56,2025-06-24,Men,2024-01-08,52.16,25-34
C138,Rebecca Parker,rebecca.parker61@yahoo.com,31.0,F,Fresno,CA,Occasional,95,3457.8,63,2025-06-30,Women,2024-01-14,54.89,25-34
C139,Jeffrey Gonzalez,jeffrey.gonzalez9@outlook.com,44.0,M,Dallas,TX,Seasonal,115,3413.85,69,2025-06-29,Men,2024-01-27,49.48,35-44
C140,Carol Phillips,carol.phillips1@outlook.com,20.0,F,Nashville,TN,New,66,2328.09,38,2025-06-30,Women,2024-01-06,61.27,18-24
C141,Karen Lewis,karen.lewis45@outlook.com,37.0,F,Fresno,CA,New,82,2871.18,48,2025-06-28,Women,2024-01-21,59.82,35-44
C142,Cynthia Lee,cynthia.lee90@yahoo.com,50.0,F,Columbus,OH,New,71,2830.04,46,2025-06-18,Women,2024-01-22,61.52,45-54
C143,Jacob Williams,jacob.williams96@hotmail.com,18.0,M,Las Vegas,NV,New,64,2141.11,45,2025-06-30,Men,2024-01-03,47.58,18-24
C144,Deborah Nelson,deborah.nelson64@gmail.com,37.0,F,San Jose,CA,Loyal,126,4480.99,50,2025-06-21,Women,2024-01-04,89.62,35-44
C145,Susan Edwards,susan.edwards13@icloud.com,38.0,F,Raleigh,NC,Bargain Hunter,121,4294.04,46,2025-06-26,Women,2024-01-14,93.35,35-44
C146,Aaron Martinez,aaron.martinez84@yahoo.com,44.0,M,New Orleans,LA,Loyal,112,3890.38,47,2025-06-29,Men,2024-01-06,82.77,35-44
C147,Carol Flores,carol.flores84@gmail.com,20.0,F,Tampa,FL,Seasonal,89,3422.86,51,2025-05-22,Women,2024-01-11,67.11,18-24
C148,Michelle Green,michelle.green70@gmail.com,19.0,F,Tucson,AZ,New,66,2043.09,39,2025-06-09,Women,2024-01-05,52.39,18-24
C149,Patrick Baker,patrick.baker30@gmail.com,41.0,M,Boston,MA,Occasional,76,2518.49,46,2025-06-18,Men,2024-01-14,54.75,35-44
C150,Patrick Rivera,patrick.rivera57@yahoo.com,38.0,M,San Antonio,TX,New,63,1792.37,47,2025-06-28,All,2024-01-02,38.14,35-44
C151,Robert Lee,robert.lee38@outlook.com,38.0,M,Houston,TX,Occasional,71,3000.54,51,2025-06-10,Men,2024-01-01,58.83,35-44
C152,Steven King,steven.king73@yahoo.com,39.0,M,New Orleans,LA,Loyal,126,4574.74,49,2025-06-25,Men,2024-01-06,93.36,35-44
C153,Samuel Edwards,samuel.edwards80@yahoo.com,26.0,M,Minneapolis,MN,Occasional,91,2988.34,54,2025-06-24,Men,2024-01-01,55.34,25-34
C154,Paul Robinson,paul.robinson59@outlook.com,37.0,M,Denver,CO,New,70,1963.05,45,2025-05-09,Men,2024-01-01,43.62,35-44
C155,Emily Baker,emily.baker10@hotmail.com,38.0,F,Austin,TX,Bargain Hunter,144,5631.81,54,2025-06-28,Women,2024-01-04,104.29,35-44
C156,Samantha Ramirez,samantha.ramirez59@outlook.com,26.0,F,Denver,CO,Loyal,149,5506.01,58,2025-06-30,Women,2024-01-04,94.93,25-34
C157,Kathleen Miller,kathleen.miller49@icloud.com,57.0,F,Seattle,WA,Occasional,85,3546.4,55,2025-06-11,Women,2024-01-07,64.48,55-64
C158,Rachel Jackson,rachel.jackson85@hotmail.com,40.0,F,Los Angeles,CA,Occasional,64,2399.36,45,2025-06-04,Women,2024-01-06,53.32,35-44
C159,Frank Mitchell,frank.mitchell37@yahoo.com,20.0,M,Tucson,AZ,New,77,2503.23,49,2025-06-24,Men,2024-01-07,51.09,18-24
C160,Sandra Green,sandra.green80@outlook.com,42.0,F,Columbus,OH,New,88,3356.12,57,2025-06-28,Women,2024-01-05,58.88,35-44
C161,Patrick Miller,patrick.miller40@hotmail.com,23.0,M,Chicago,IL,Loyal,126,3697.99,51,2025-06-24,Men,2024-01-02,72.51,18-24
C162,Janet Rodriguez,janet.rodriguez38@outlook.com,44.0,F,Philadelphia,PA,New,89,3562.61,52,2025-06-14,Women,2024-01-02,68.51,35-44
C163,Anthony Rodriguez,anthony.rodriguez68@icloud.com,48.0,M,Miami,FL,Bargain Hunter,132,3949.43,46,2025-06-14,Men,2024-01-29,85.86,45-54
C164,Andrew Turner,andrew.turner38@outlook.com,25.0,M,Fresno,CA,Seasonal,70,2022.05,43,2025-06-14,Men,2024-01-02,47.02,25-34
C165,Barbara Martinez,barbara.martinez87@hotmail.com,46.0,F,Indianapolis,IN,Bargain Hunter,143,4876.82,49,2025-04-22,Women,2024-01-06,99.53,45-54
C166,Elizabeth Phillips,elizabeth.phillips2@outlook.com,39.0,F,Tampa,FL,New,76,3410.99,46,2025-06-03,Women,2024-01-03,74.15,35-44
C167,Melissa Baker,melissa.baker75@hotmail.com,44.0,F,Denver,CO,Seasonal,72,2769.53,47,2025-06-27,Women,2024-02-03,58.93,35-44
C168,Susan Baker,susan.baker61@gmail.com,57.0,F,Indianapolis,IN,New,99,3922.26,60,2025-06-06,Women,2024-01-02,65.37,55-64
C169,Helen Anderson,helen.anderson82@hotmail.com,32.0,F,Phoenix,AZ,Bargain Hunter,190,6496.6,67,2025-06-25,Women,2024-01-03,96.96,25-34
C170,Katherine Clark,katherine.clark18@gmail.com,25.0,F,San Diego,CA,Bargain Hunter,160,6224.65,56,2025-06-15,Women,2024-01-02,111.15,25-34
C171,Amy Davis,amy.davis31@icloud.com,24.0,F,San Antonio,TX,Loyal,116,4600.34,46,2025-06-30,Women,2024-01-02,100.01,18-24
C172,Melissa Nelson,melissa.nelson76@yahoo.com,25.0,F,New Orleans,LA,Seasonal,93,3965.82,61,2025-06-18,Women,2024-01-08,65.01,25-34
C173,Stephen Flores,stephen.flores36@gmail.com,34.0,M,New Orleans,LA,New,58,2093.92,39,2025-06-29,Men,2024-01-12,53.69,25-34
C174,Nicholas Lewis,nicholas.lewis47@gmail.com,39.0,M,Seattle,WA,Bargain Hunter,136,3912.64,47,2025-06-01,Men,2024-01-12,83.25,35-44
C175,Anna Adams,anna.adams8@hotmail.com,38.0,F,Atlanta,GA,Occasional,60,2241.9,44,2025-06-06,Women,2024-01-02,50.95,35-44
